Lipid,Surfactant,Size,PDI
750,225,217.0333333,0.21
750,225,214.5,0.217333333
750,225,214.9,0.198333333
750,450,159.8666667,0.170333333
750,450,160.3,0.161666667
750,450,158.2333333,0.162
750,675,127.4,0.196666667
750,675,125.2333333,0.207333333
750,675,125.5666667,0.189333333
1500,225,311.9333333,0.263333333
1500,225,304.1333333,0.228
1500,225,310.5666667,0.243666667
1500,450,231.2,0.189333333
1500,450,231.0333333,0.171333333
1500,450,231.7,0.185666667
1500,675,194.3333333,0.163333333
1500,675,196.4666667,0.160333333
1500,675,199.1666667,0.145
2250,225,389.4666667,0.264666667
2250,225,403.5666667,0.271
2250,225,400,0.239666667
2250,450,298.8,0.225333333
2250,450,307.3333333,0.238333333
2250,450,298.1,0.225
2250,675,247.9333333,0.203666667
2250,675,246.2333333,0.196333333
2250,675,246.2,0.200666667
